,name,params,nzparams,sparsity,skip_count
0,conv1,4096,1408,66.0,False
1,bn1,32,11,66.0,True
2,layer1.0.conv1,3072,1056,66.0,False
3,layer1.0.bn1,32,11,66.0,True
4,layer1.0.conv2,3072,1056,66.0,False
5,layer1.0.bn2,32,11,66.0,True
6,layer1.0.shortcut.0,1024,352,66.0,False
7,layer1.0.shortcut.1,32,11,66.0,False
8,layer1.1.conv1,3072,1056,66.0,False
9,layer1.1.bn1,32,11,66.0,True
10,layer1.1.conv2,3072,1056,66.0,False
11,layer1.1.bn2,32,11,66.0,True
12,layer1.2.conv1,3072,1056,66.0,False
13,layer1.2.bn1,32,11,66.0,True
14,layer1.2.conv2,3072,1056,66.0,False
15,layer1.2.bn2,32,11,66.0,True
16,layer2.0.conv1,6144,2016,67.0,False
17,layer2.0.bn1,64,21,67.0,True
18,layer2.0.conv2,12288,4032,67.0,False
19,layer2.0.bn2,64,21,67.0,True
20,layer2.0.shortcut.0,2048,672,67.0,False
21,layer2.0.shortcut.1,64,21,67.0,False
22,layer2.1.conv1,12288,4032,67.0,False
23,layer2.1.bn1,64,21,67.0,True
24,layer2.1.conv2,12288,4032,67.0,False
25,layer2.1.bn2,64,21,67.0,True
26,layer2.2.conv1,12288,4032,67.0,False
27,layer2.2.bn1,64,21,67.0,True
28,layer2.2.conv2,12288,4032,67.0,False
29,layer2.2.bn2,64,21,67.0,True
30,layer2.3.conv1,12288,4032,67.0,False
31,layer2.3.bn1,64,21,67.0,True
32,layer2.3.conv2,12288,4032,67.0,False
33,layer2.3.bn2,64,21,67.0,True
34,layer3.0.conv1,24576,8064,67.0,False
35,layer3.0.bn1,128,42,67.0,True
36,layer3.0.conv2,49152,16128,67.0,False
37,layer3.0.bn2,128,42,67.0,True
38,layer3.0.shortcut.0,8192,2688,67.0,False
39,layer3.0.shortcut.1,128,42,67.0,False
40,layer3.1.conv1,49152,16128,67.0,False
41,layer3.1.bn1,128,42,67.0,True
42,layer3.1.conv2,49152,16128,67.0,False
43,layer3.1.bn2,128,42,67.0,True
44,layer3.2.conv1,49152,16128,67.0,False
45,layer3.2.bn1,128,42,67.0,True
46,layer3.2.conv2,49152,16128,67.0,False
47,layer3.2.bn2,128,42,67.0,True
48,linear,384,256,33.0,False
